task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Release Purchase Order,159,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Fluxicon Disco,Variant 30,30,2011-02-04T05:38:00.000,2011-02-04T05:37:00.000
Approve Purchase Order for payment,159,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 30,30,2011-02-04T15:16:00.000,2011-02-04T15:15:00.000
Send Invoice,159,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 30,30,2011-02-05T04:13:00.000,2011-02-05T04:13:00.000
Release Supplier's Invoice,159,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 30,30,2011-02-05T18:28:00.000,2011-02-05T18:25:00.000
Settle Dispute With Supplier,159,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Fluxicon Disco,Variant 30,30,2011-02-05T19:10:00.000,2011-02-05T18:52:00.000
Authorize Supplier's Invoice payment,159,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 30,30,2011-02-05T19:10:00.000,2011-02-05T19:10:00.000
Pay Invoice,159,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 30,30,2011-02-05T20:23:00.000,2011-02-05T20:13:00.000
Create Purchase Requisition,1592,Christian Francois,Create Purchase Requisition,Christian Francois,Fluxicon Disco,Variant 1,1,2011-08-18T19:06:00.000,2011-08-18T18:23:00.000
Analyze Purchase Requisition,1592,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Fluxicon Disco,Variant 1,1,2011-08-19T10:34:00.000,2011-08-19T10:29:00.000
Create Request for Quotation,1592,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 1,1,2011-08-19T10:42:00.000,2011-08-19T10:41:00.000
Analyze Request for Quotation,1592,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-08-20T15:36:00.000,2011-08-20T15:21:00.000
Send Request for Quotation to Supplier,1592,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-08-21T03:59:00.000,2011-08-21T03:39:00.000
Create Quotation comparison Map,1592,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-08-22T05:35:00.000,2011-08-21T23:55:00.000
Analyze Quotation Comparison Map,1592,Christian Francois,Analyze Quotation Comparison Map,Christian Francois,Fluxicon Disco,Variant 1,1,2011-08-22T12:14:00.000,2011-08-22T12:06:00.000
Choose best option,1592,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Fluxicon Disco,Variant 1,1,2011-08-22T12:14:00.000,2011-08-22T12:14:00.000
Settle Conditions With Supplier,1592,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-08-23T12:22:00.000,2011-08-23T04:15:00.000
Create Purchase Order,1592,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-08-23T22:26:00.000,2011-08-23T22:18:00.000
Confirm Purchase Order,1592,Karen Clarens,Confirm Purchase Order,Karen Clarens,Fluxicon Disco,Variant 1,1,2011-08-24T08:08:00.000,2011-08-24T07:41:00.000
Deliver Goods Services,1592,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 1,1,2011-08-26T10:35:00.000,2011-08-25T18:51:00.000
Release Purchase Order,1592,Fjodor Kowalski,Release Purchase Order,Fjodor Kowalski,Fluxicon Disco,Variant 1,1,2011-08-26T18:08:00.000,2011-08-26T18:07:00.000
Approve Purchase Order for payment,1592,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-08-27T03:22:00.000,2011-08-27T03:21:00.000
Send Invoice,1592,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 1,1,2011-09-01T12:07:00.000,2011-09-01T12:07:00.000
Release Supplier's Invoice,1592,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-09-02T02:23:00.000,2011-09-02T02:19:00.000
Authorize Supplier's Invoice payment,1592,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-09-02T02:23:00.000,2011-09-02T02:23:00.000
Pay Invoice,1592,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-09-02T02:40:00.000,2011-09-02T02:27:00.000
Create Purchase Requisition,1596,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Fluxicon Disco,Variant 3,3,2011-08-20T03:32:00.000,2011-08-20T03:16:00.000
Analyze Purchase Requisition,1596,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Fluxicon Disco,Variant 3,3,2011-08-21T04:22:00.000,2011-08-21T04:13:00.000
Create Purchase Requisition,16,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Fluxicon Disco,Variant 26,26,2011-01-03T02:14:00.000,2011-01-03T01:25:00.000
Create Request for Quotation,16,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,Fluxicon Disco,Variant 26,26,2011-01-03T03:05:00.000,2011-01-03T02:56:00.000
Analyze Request for Quotation,16,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 26,26,2011-01-03T04:13:00.000,2011-01-03T03:53:00.000
Amend Request for Quotation,16,Kim Passa,Amend Request for Quotation,Kim Passa,Fluxicon Disco,Variant 26,26,2011-01-03T05:11:00.000,2011-01-03T05:05:00.000
Analyze Request for Quotation,16,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 26,26,2011-01-03T06:23:00.000,2011-01-03T06:00:00.000
Amend Request for Quotation,16,Heinz Gutschmidt,Amend Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 26,26,2011-01-03T22:25:00.000,2011-01-03T22:12:00.000
Analyze Request for Quotation,16,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 26,26,2011-01-04T01:45:00.000,2011-01-04T01:12:00.000
Amend Request for Quotation,16,Fjodor Kowalski,Amend Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 26,26,2011-01-04T02:44:00.000,2011-01-04T02:34:00.000
Analyze Request for Quotation,16,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 26,26,2011-01-04T04:15:00.000,2011-01-04T03:50:00.000
Send Request for Quotation to Supplier,16,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 26,26,2011-01-05T00:40:00.000,2011-01-05T00:16:00.000
Create Quotation comparison Map,16,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Fluxicon Disco,Variant 26,26,2011-01-05T08:14:00.000,2011-01-05T02:45:00.000
Analyze Quotation Comparison Map,16,Tesca Lobes,Analyze Quotation Comparison Map,Tesca Lobes,Fluxicon Disco,Variant 26,26,2011-01-05T15:26:00.000,2011-01-05T14:56:00.000
Choose best option,16,Elvira Lores,Choose best option,Elvira Lores,Fluxicon Disco,Variant 26,26,2011-01-05T15:26:00.000,2011-01-05T15:26:00.000
Settle Conditions With Supplier,16,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 26,26,2011-01-06T08:06:00.000,2011-01-05T22:28:00.000
Create Purchase Order,16,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 26,26,2011-01-06T20:00:00.000,2011-01-06T19:48:00.000
Confirm Purchase Order,16,Karen Clarens,Confirm Purchase Order,Karen Clarens,Fluxicon Disco,Variant 26,26,2011-01-07T01:31:00.000,2011-01-07T01:11:00.000
Deliver Goods Services,16,Kiu Kan,Deliver Goods Services,Kiu Kan,Fluxicon Disco,Variant 26,26,2011-01-08T07:26:00.000,2011-01-07T08:57:00.000
Release Purchase Order,16,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Fluxicon Disco,Variant 26,26,2011-01-08T15:15:00.000,2011-01-08T15:14:00.000
Approve Purchase Order for payment,16,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 26,26,2011-01-08T21:16:00.000,2011-01-08T21:15:00.000
Send Invoice,16,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 26,26,2011-01-09T02:58:00.000,2011-01-09T02:58:00.000
Release Supplier's Invoice,16,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 26,26,2011-01-09T17:20:00.000,2011-01-09T17:14:00.000
Settle Dispute With Supplier,16,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Fluxicon Disco,Variant 26,26,2011-01-09T18:11:00.000,2011-01-09T17:55:00.000
Authorize Supplier's Invoice payment,16,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 26,26,2011-01-09T18:11:00.000,2011-01-09T18:11:00.000
Pay Invoice,16,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 26,26,2011-01-09T18:28:00.000,2011-01-09T18:21:00.000
Create Purchase Requisition,160,Anna Kaufmann,Create Purchase Requisition,Anna Kaufmann,Fluxicon Disco,Variant 4,4,2011-01-21T22:59:00.000,2011-01-21T22:29:00.000
Analyze Purchase Requisition,160,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 4,4,2011-01-22T09:32:00.000,2011-01-22T09:27:00.000
Create Request for Quotation,160,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 4,4,2011-01-22T09:42:00.000,2011-01-22T09:39:00.000
Analyze Request for Quotation,160,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 4,4,2011-01-24T10:11:00.000,2011-01-24T09:37:00.000
Create Purchase Requisition,1613,Anna Kaufmann,Create Purchase Requisition,Anna Kaufmann,Fluxicon Disco,Variant 12,12,2011-08-22T13:35:00.000,2011-08-22T13:12:00.000
Analyze Purchase Requisition,1613,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 12,12,2011-08-23T09:19:00.000,2011-08-23T09:13:00.000
Create Request for Quotation,1613,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 12,12,2011-08-23T09:28:00.000,2011-08-23T09:26:00.000
Analyze Request for Quotation,1613,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 12,12,2011-09-01T22:04:00.000,2011-09-01T21:49:00.000
Amend Request for Quotation,1613,Fjodor Kowalski,Amend Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 12,12,2011-09-01T23:02:00.000,2011-09-01T22:49:00.000
Analyze Request for Quotation,1613,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 12,12,2011-09-04T05:50:00.000,2011-09-04T05:21:00.000
Create Purchase Requisition,162,Elvira Lores,Create Purchase Requisition,Elvira Lores,Fluxicon Disco,Variant 1,1,2011-01-22T05:24:00.000,2011-01-22T05:18:00.000
Analyze Purchase Requisition,162,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Fluxicon Disco,Variant 1,1,2011-01-23T02:31:00.000,2011-01-23T02:25:00.000
Create Request for Quotation,162,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 1,1,2011-01-23T02:40:00.000,2011-01-23T02:38:00.000
Analyze Request for Quotation,162,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-23T09:26:00.000,2011-01-23T09:07:00.000
Send Request for Quotation to Supplier,162,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-24T09:05:00.000,2011-01-24T08:44:00.000
Create Quotation comparison Map,162,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-24T17:51:00.000,2011-01-24T14:48:00.000
Analyze Quotation Comparison Map,162,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Fluxicon Disco,Variant 1,1,2011-01-25T00:30:00.000,2011-01-25T00:18:00.000
Choose best option,162,Miu Hanwan,Choose best option,Miu Hanwan,Fluxicon Disco,Variant 1,1,2011-01-25T00:30:00.000,2011-01-25T00:30:00.000
Settle Conditions With Supplier,162,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-01-25T18:02:00.000,2011-01-25T10:42:00.000
Create Purchase Order,162,Karel de Groot,Create Purchase Order,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-25T22:09:00.000,2011-01-25T22:02:00.000
Confirm Purchase Order,162,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Fluxicon Disco,Variant 1,1,2011-01-27T10:22:00.000,2011-01-27T09:53:00.000
Deliver Goods Services,162,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 1,1,2011-01-31T06:41:00.000,2011-01-29T12:26:00.000
Release Purchase Order,162,Immanuel Karagianni,Release Purchase Order,Immanuel Karagianni,Fluxicon Disco,Variant 1,1,2011-01-31T14:32:00.000,2011-01-31T14:31:00.000
Approve Purchase Order for payment,162,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-31T18:47:00.000,2011-01-31T18:46:00.000
Send Invoice,162,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 1,1,2011-02-01T02:06:00.000,2011-02-01T02:06:00.000
Release Supplier's Invoice,162,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-02-01T16:31:00.000,2011-02-01T16:26:00.000
Authorize Supplier's Invoice payment,162,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-02-01T16:31:00.000,2011-02-01T16:31:00.000
Pay Invoice,162,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-02-01T17:35:00.000,2011-02-01T17:21:00.000
Create Purchase Requisition,1624,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Fluxicon Disco,Variant 4,4,2011-08-23T21:31:00.000,2011-08-23T20:48:00.000
Analyze Purchase Requisition,1624,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 4,4,2011-08-24T09:03:00.000,2011-08-24T08:59:00.000
Create Request for Quotation,1624,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 4,4,2011-08-24T09:09:00.000,2011-08-24T09:07:00.000
Analyze Request for Quotation,1624,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 4,4,2011-08-28T18:44:00.000,2011-08-28T18:09:00.000
Create Purchase Requisition,1626,Alberto Duport,Create Purchase Requisition,Alberto Duport,Fluxicon Disco,Variant 4,4,2011-08-24T02:12:00.000,2011-08-24T02:05:00.000
Analyze Purchase Requisition,1626,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 4,4,2011-08-24T19:15:00.000,2011-08-24T19:10:00.000
Create Request for Quotation,1626,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 4,4,2011-08-24T19:23:00.000,2011-08-24T19:21:00.000
Analyze Request for Quotation,1626,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 4,4,2011-08-25T00:52:00.000,2011-08-25T00:17:00.000
Create Purchase Requisition,164,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Fluxicon Disco,Variant 1,1,2011-01-22T08:57:00.000,2011-01-22T08:13:00.000
Analyze Purchase Requisition,164,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 1,1,2011-01-22T21:30:00.000,2011-01-22T21:24:00.000
Create Request for Quotation,164,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 1,1,2011-01-22T21:37:00.000,2011-01-22T21:35:00.000
Analyze Request for Quotation,164,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-01-23T11:56:00.000,2011-01-23T11:43:00.000
Send Request for Quotation to Supplier,164,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-24T08:12:00.000,2011-01-24T07:52:00.000
Create Quotation comparison Map,164,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-24T17:52:00.000,2011-01-24T13:03:00.000
Analyze Quotation Comparison Map,164,Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,Fluxicon Disco,Variant 1,1,2011-01-25T00:45:00.000,2011-01-25T00:20:00.000
Choose best option,164,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Fluxicon Disco,Variant 1,1,2011-01-25T00:45:00.000,2011-01-25T00:45:00.000
Settle Conditions With Supplier,164,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-25T14:25:00.000,2011-01-25T08:31:00.000
Create Purchase Order,164,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-01-25T19:09:00.000,2011-01-25T19:02:00.000
Confirm Purchase Order,164,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Fluxicon Disco,Variant 1,1,2011-01-27T14:47:00.000,2011-01-27T14:33:00.000
Deliver Goods Services,164,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 1,1,2011-01-28T19:59:00.000,2011-01-28T13:29:00.000
Release Purchase Order,164,Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Fluxicon Disco,Variant 1,1,2011-01-29T03:55:00.000,2011-01-29T03:54:00.000
Approve Purchase Order for payment,164,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-01-30T06:22:00.000,2011-01-30T06:21:00.000
Send Invoice,164,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 1,1,2011-01-31T04:20:00.000,2011-01-31T04:20:00.000
Release Supplier's Invoice,164,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-01-31T18:31:00.000,2011-01-31T18:28:00.000
Authorize Supplier's Invoice payment,164,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-01-31T18:31:00.000,2011-01-31T18:31:00.000
Pay Invoice,164,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-01-31T19:01:00.000,2011-01-31T18:49:00.000
Create Purchase Requisition,1682,Penn Osterwalder,Create Purchase Requisition,Penn Osterwalder,Fluxicon Disco,Variant 9,9,2011-08-30T18:41:00.000,2011-08-30T18:34:00.000
Create Request for Quotation,1682,Fjodor Kowalski,Create Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 9,9,2011-08-30T23:43:00.000,2011-08-30T23:34:00.000
Analyze Request for Quotation,1682,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 9,9,2011-09-04T08:00:00.000,2011-09-04T07:40:00.000
Send Request for Quotation to Supplier,1682,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 9,9,2011-09-05T10:43:00.000,2011-09-05T10:21:00.000
Create Quotation comparison Map,1682,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 9,9,2011-09-05T15:36:00.000,2011-09-05T11:12:00.000
Analyze Quotation Comparison Map,1682,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Fluxicon Disco,Variant 9,9,2011-09-05T22:40:00.000,2011-09-05T22:31:00.000
Choose best option,1682,Esmana Liubiata,Choose best option,Esmana Liubiata,Fluxicon Disco,Variant 9,9,2011-09-05T22:40:00.000,2011-09-05T22:40:00.000
Settle Conditions With Supplier,1682,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 9,9,2011-09-06T15:41:00.000,2011-09-06T07:10:00.000
Create Purchase Order,1682,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 9,9,2011-09-07T06:22:00.000,2011-09-07T06:10:00.000
Confirm Purchase Order,1682,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Fluxicon Disco,Variant 9,9,2011-09-07T12:11:00.000,2011-09-07T11:43:00.000
Deliver Goods Services,1682,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Fluxicon Disco,Variant 9,9,2011-09-10T17:34:00.000,2011-09-10T12:29:00.000
Release Purchase Order,1682,Kim Passa,Release Purchase Order,Kim Passa,Fluxicon Disco,Variant 9,9,2011-09-11T00:55:00.000,2011-09-11T00:54:00.000
Approve Purchase Order for payment,1682,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 9,9,2011-09-11T04:48:00.000,2011-09-11T04:47:00.000
Send Invoice,1682,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 9,9,2011-09-12T02:08:00.000,2011-09-12T02:08:00.000
Release Supplier's Invoice,1682,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 9,9,2011-09-12T16:35:00.000,2011-09-12T16:33:00.000
Settle Dispute With Supplier,1682,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Fluxicon Disco,Variant 9,9,2011-09-12T17:33:00.000,2011-09-12T17:02:00.000
Authorize Supplier's Invoice payment,1682,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 9,9,2011-09-12T17:33:00.000,2011-09-12T17:33:00.000
Pay Invoice,1682,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 9,9,2011-09-12T18:41:00.000,2011-09-12T18:34:00.000
Create Purchase Requisition,169,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Fluxicon Disco,Variant 2,2,2011-01-22T21:55:00.000,2011-01-22T21:00:00.000
Create Request for Quotation,169,Miu Hanwan,Create Request for Quotation,Miu Hanwan,Fluxicon Disco,Variant 2,2,2011-01-22T22:45:00.000,2011-01-22T22:33:00.000
Analyze Request for Quotation,169,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-01-31T10:22:00.000,2011-01-31T10:00:00.000
Send Request for Quotation to Supplier,169,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-01-31T20:07:00.000,2011-01-31T19:42:00.000
Create Quotation comparison Map,169,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-01-31T21:59:00.000,2011-01-31T20:21:00.000
Analyze Quotation Comparison Map,169,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Fluxicon Disco,Variant 2,2,2011-02-01T05:14:00.000,2011-02-01T05:03:00.000
Choose best option,169,Tesca Lobes,Choose best option,Tesca Lobes,Fluxicon Disco,Variant 2,2,2011-02-01T05:14:00.000,2011-02-01T05:14:00.000
Settle Conditions With Supplier,169,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-02-01T13:05:00.000,2011-02-01T08:37:00.000
Create Purchase Order,169,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-02-01T18:58:00.000,2011-02-01T18:50:00.000
Confirm Purchase Order,169,Sean Manney,Confirm Purchase Order,Sean Manney,Fluxicon Disco,Variant 2,2,2011-02-02T07:56:00.000,2011-02-02T07:41:00.000
Deliver Goods Services,169,Kiu Kan,Deliver Goods Services,Kiu Kan,Fluxicon Disco,Variant 2,2,2011-02-03T18:01:00.000,2011-02-03T13:44:00.000
Release Purchase Order,169,Penn Osterwalder,Release Purchase Order,Penn Osterwalder,Fluxicon Disco,Variant 2,2,2011-02-04T01:54:00.000,2011-02-04T01:53:00.000
Approve Purchase Order for payment,169,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-02-05T15:40:00.000,2011-02-05T15:39:00.000
Send Invoice,169,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 2,2,2011-02-06T06:24:00.000,2011-02-06T06:24:00.000
Release Supplier's Invoice,169,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 2,2,2011-02-06T20:50:00.000,2011-02-06T20:48:00.000
Authorize Supplier's Invoice payment,169,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 2,2,2011-02-06T20:50:00.000,2011-02-06T20:50:00.000
Pay Invoice,169,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 2,2,2011-02-06T22:01:00.000,2011-02-06T21:51:00.000
Create Purchase Requisition,17,Anne Olwada,Create Purchase Requisition,Anne Olwada,Fluxicon Disco,Variant 28,28,2011-01-03T02:17:00.000,2011-01-03T01:32:00.000
Create Request for Quotation,17,Alberto Duport,Create Request for Quotation,Alberto Duport,Fluxicon Disco,Variant 28,28,2011-01-03T10:12:00.000,2011-01-03T10:02:00.000
Analyze Request for Quotation,17,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 28,28,2011-01-03T20:02:00.000,2011-01-03T19:41:00.000
Amend Request for Quotation,17,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Fluxicon Disco,Variant 28,28,2011-01-03T20:58:00.000,2011-01-03T20:53:00.000
Analyze Request for Quotation,17,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 28,28,2011-01-03T22:28:00.000,2011-01-03T22:19:00.000
Amend Request for Quotation,17,Anne Olwada,Amend Request for Quotation,Anne Olwada,Fluxicon Disco,Variant 28,28,2011-01-03T23:27:00.000,2011-01-03T23:13:00.000
Analyze Request for Quotation,17,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 28,28,2011-01-04T01:24:00.000,2011-01-04T01:10:00.000
Amend Request for Quotation,17,Anna Kaufmann,Amend Request for Quotation,Anna Kaufmann,Fluxicon Disco,Variant 28,28,2011-01-04T02:31:00.000,2011-01-04T02:17:00.000
Analyze Request for Quotation,17,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 28,28,2011-01-04T04:36:00.000,2011-01-04T04:16:00.000
Create Purchase Requisition,170,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Fluxicon Disco,Variant 29,29,2011-01-23T05:20:00.000,2011-01-23T04:35:00.000
Analyze Purchase Requisition,170,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 29,29,2011-01-23T21:16:00.000,2011-01-23T21:11:00.000
Create Request for Quotation,170,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 29,29,2011-01-23T21:23:00.000,2011-01-23T21:21:00.000
Analyze Request for Quotation,170,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 29,29,2011-01-26T06:25:00.000,2011-01-26T05:48:00.000
